dataset,seed,norm_mode,graph_mode,encoder_mode,relation_mode,train_protocol,train_acc,val_acc,test_acc,best_val_acc,best_epoch,final_epoch,num_train_used_for_loss,num_val,num_test,num_channels,seq_len,num_classes
Epilepsy,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.956204,nan,0.934783,nan,nan,100,137,0,138,3,206,4
Epilepsy,0,train_global,no_graph,current,lowN_channel_attn,current_split,0.990909,1.000000,0.905797,1.000000,11,11,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,current,lowN_channel_attn,current_split,0.990909,1.000000,0.971014,1.000000,8,8,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,current,lowN_channel_attn,current_split,0.963636,0.962963,0.942029,0.962963,7,7,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.981818,0.925926,0.884058,0.925926,1,1,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.981818,1.000000,0.963768,1.000000,1,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.900000,0.925926,0.891304,0.925926,1,1,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.262774,0.925926,0.268116,0.925926,1,1,137,27,138,3,206,4
Epilepsy,1,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.218978,1.000000,0.231884,1.000000,1,1,137,27,138,3,206,4
Epilepsy,2,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.270073,0.925926,0.275362,0.925926,1,1,137,27,138,3,206,4
Epilepsy,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.985401,nan,0.905797,nan,nan,50,137,0,138,3,206,4
Epilepsy,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.970803,nan,0.971014,nan,nan,50,137,0,138,3,206,4
Epilepsy,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.941606,nan,0.898551,nan,nan,50,137,0,138,3,206,4
Epilepsy,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.992701,nan,0.949275,nan,nan,100,137,0,138,3,206,4
Epilepsy,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.992701,nan,0.992754,nan,nan,100,137,0,138,3,206,4
Epilepsy,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.992701,nan,0.963768,nan,nan,100,137,0,138,3,206,4
Libras,0,train_global,no_graph,current,hgnn_zero,current_split,0.263889,0.222222,0.233333,0.222222,1,1,144,36,180,2,45,15
Libras,1,train_global,no_graph,current,hgnn_zero,current_split,0.465278,0.361111,0.344444,0.361111,8,8,144,36,180,2,45,15
Libras,2,train_global,no_graph,current,hgnn_zero,current_split,0.388889,0.194444,0.266667,0.194444,1,1,144,36,180,2,45,15
Libras,0,train_global,no_graph,current,hgnn_zero,stratified_split,0.388889,0.333333,0.322222,0.333333,1,1,144,36,180,2,45,15
Libras,1,train_global,no_graph,current,hgnn_zero,stratified_split,0.562500,0.583333,0.400000,0.583333,13,13,144,36,180,2,45,15
Libras,2,train_global,no_graph,current,hgnn_zero,stratified_split,0.368056,0.305556,0.327778,0.305556,1,1,144,36,180,2,45,15
Libras,0,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.094444,0.333333,0.072222,0.333333,1,1,180,36,180,2,45,15
