dataset,seed,ablation,train_acc,val_acc,test_acc,best_val_acc,best_epoch,num_train,num_val,num_test,num_channels,seq_len,num_classes,train_graph_avg_degree,train_graph_homophily,test_graph_avg_degree,test_graph_homophily_diagnostic_only
Cricket,0,full_current,0.632184,0.523810,0.638889,0.523810,13,87,21,72,6,1197,12,5.314815044403076,0.8013937473297119,5.055555820465088,0.6813187003135681
Cricket,1,full_current,0.505747,0.380952,0.500000,0.380952,2,87,21,72,6,1197,12,5.166666507720947,0.8028674125671387,5.111111164093018,0.7228261232376099
Cricket,2,full_current,0.459770,0.238095,0.416667,0.238095,2,87,21,72,6,1197,12,5.203703880310059,0.77224200963974,4.94444465637207,0.6741573214530945
Cricket,0,gru_only,0.482759,0.380952,0.388889,0.380952,1,87,21,72,6,1197,12,,,,
Cricket,1,gru_only,0.241379,0.142857,0.236111,0.142857,1,87,21,72,6,1197,12,,,,
Cricket,2,gru_only,0.195402,0.095238,0.180556,0.095238,1,87,21,72,6,1197,12,,,,
Cricket,0,no_hgnn_but_gcn,0.505747,0.428571,0.513889,0.428571,1,87,21,72,6,1197,12,5.296296119689941,0.8391607999801636,5.055555820465088,0.7142857313156128
Cricket,1,no_hgnn_but_gcn,0.586207,0.380952,0.513889,0.380952,1,87,21,72,6,1197,12,5.314815044403076,0.8501742482185364,4.972222328186035,0.6759776473045349
Cricket,2,no_hgnn_but_gcn,0.471264,0.380952,0.513889,0.380952,10,87,21,72,6,1197,12,5.296296119689941,0.751748263835907,5.083333492279053,0.6338797807693481
Cricket,0,no_sample_gcn,0.712644,0.666667,0.583333,0.666667,6,87,21,72,6,1197,12,,,,
Cricket,1,no_sample_gcn,0.586207,0.428571,0.583333,0.428571,7,87,21,72,6,1197,12,,,,
Cricket,2,no_sample_gcn,0.908046,0.761905,0.777778,0.761905,42,87,21,72,6,1197,12,,,,
Libras,0,cnn_gru_only,0.430556,0.361111,0.377778,0.361111,1,144,36,180,2,45,15,,,,
Libras,1,cnn_gru_only,0.472222,0.388889,0.400000,0.388889,15,144,36,180,2,45,15,,,,
Libras,2,cnn_gru_only,0.215278,0.277778,0.222222,0.277778,1,144,36,180,2,45,15,,,,
Libras,0,cnn_only,0.236111,0.111111,0.244444,0.111111,1,144,36,180,2,45,15,,,,
Libras,1,cnn_only,0.270833,0.194444,0.216667,0.194444,1,144,36,180,2,45,15,,,,
Libras,2,cnn_only,0.159722,0.111111,0.122222,0.111111,1,144,36,180,2,45,15,,,,
Libras,0,full_current,0.312500,0.194444,0.272222,0.194444,1,144,36,180,2,45,15,5.300000190734863,0.4360587000846863,5.3222222328186035,0.43215033411979675
Libras,1,full_current,0.145833,0.166667,0.144444,0.166667,2,144,36,180,2,45,15,5.388888835906982,0.41443300247192383,5.233333587646484,0.42250531911849976
Libras,2,full_current,0.409722,0.250000,0.277778,0.277778,3,144,36,180,2,45,15,5.233333587646484,0.48832273483276367,5.1666669845581055,0.46881720423698425
Libras,0,gru_only,0.229167,0.194444,0.205556,0.194444,1,144,36,180,2,45,15,,,,
Libras,1,gru_only,0.201389,0.277778,0.222222,0.277778,5,144,36,180,2,45,15,,,,
Libras,2,gru_only,0.173611,0.166667,0.188889,0.166667,1,144,36,180,2,45,15,,,,
Libras,0,no_hgnn_but_gcn,0.215278,0.194444,0.211111,0.194444,1,144,36,180,2,45,15,5.47777795791626,0.3752535283565521,5.388888835906982,0.3814433217048645
Libras,1,no_hgnn_but_gcn,0.256944,0.166667,0.200000,0.166667,3,144,36,180,2,45,15,5.288888931274414,0.4159664213657379,5.233333587646484,0.41188961267471313
Libras,2,no_hgnn_but_gcn,0.381944,0.305556,0.372222,0.305556,12,144,36,180,2,45,15,5.3111114501953125,0.4246861934661865,5.155555725097656,0.4568965435028076
Libras,0,no_sample_gcn,0.458333,0.388889,0.422222,0.388889,1,144,36,180,2,45,15,,,,
Libras,1,no_sample_gcn,0.319444,0.277778,0.250000,0.277778,9,144,36,180,2,45,15,,,,
Libras,2,no_sample_gcn,0.319444,0.222222,0.288889,0.222222,1,144,36,180,2,45,15,,,,
